date,guest,extra
7/18/2011,Daniel Radcliffe,
7/19/2011,Pervez Musharraf,
7/20/2011,Steve Carell,
7/21/2011,Scott Miller,
7/25/2011,Neil Patrick Harris,
7/26/2011,Juan Williams,
7/27/2011,Rachel Weisz,
7/28/2011,Peter Tomsen,
8/1/2011,Freida Pinto,
8/2/2011,Jason Bateman,
8/3/2011,Austan Goolsbee,
8/4/2011,Dick Durbin,
8/8/2011,Mark Adams,
8/9/2011,Jay Bahadur,
8/10/2011,John Coffee,
8/11/2011,Michael Wallis,
8/15/2011,Ali Velshi,
8/16/2011,Matt Long,
8/17/2011,Michael Steele,
8/18/2011,Anne Hathaway,
9/6/2011,Buddy Roemer,
9/7/2011,Dr. Sanjay Gupta,
9/8/2011,Marion Cotillard,
9/12/2011,Mike Mullen,
9/13/2011,Jim Lehrer,
9/14/2011,Common,
9/15/2011,Caroline Kennedy,
9/20/2011,Ron Suskind,
9/21/2011,Mitch Daniels,
9/22/2011,Jennifer Granholm,
9/26/2011,Ron Paul,
9/27/2011,Seth Rogen,
9/28/2011,Bill O'Reilly,
9/29/2011,Tony Bennett,
10/3/2011,Thomas Friedman,
10/4/2011,Michael Lewis,
10/5/2011,Hugh Jackman,
10/6/2011,Jason Sudeikis,
10/17/2011,Ellen Schultz,
10/18/2011,Calvin Trillin,
10/19/2011,Al Sharpton,
10/20/2011,Richard Brookhiser,
10/24/2011,Kevin Clash,
10/25/2011,Walter Isaacson,
10/26/2011,Lisa Randall,
10/27/2011,Andrew Napolitano,
10/31/2011,Mindy Kaling,
11/1/2011,Condoleezza Rice,
11/2/2011,Tom Brokaw,
11/3/2011,Brad Paisley,
11/7/2011,Clint Eastwood,
11/8/2011,Bill Clinton,
11/9/2011,Nancy Pelosi,
11/10/2011,Adam Sandler,
11/14/2011,Leymah Gbowee,
11/15/2011,Mark Kelly,
11/16/2011,Diane Keaton,
11/17/2011,Martin Scorsese,
11/28/2011,Merrill Markoe,
11/29/2011,Betty White,
11/30/2011,Bono,
12/1/2011,Bob Costas,
12/5/2011,Ben Lowy,
12/6/2011,Jonah Hill,
12/7/2011,Ralph Fiennes,
12/8/2011,Ed Gillespie,
12/12/2011,Anne Burrell,
12/13/2011,Lawrence Lessig,
12/14/2011,Melody Barnes,
12/15/2011,Matt Damon,
1/3/2012,Charles Barkley,
1/4/2012,Elizabeth Dowling Taylor,
1/5/2012,Craig Shirley,
1/9/2012,George Lucas,
1/10/2012,Andrew Napolitano,
1/11/2012,Jim DeMint,
1/12/2012,Dolly Parton,
1/16/2012,Jodi Kantor,
1/17/2012,Liam Neeson,
1/18/2012,Joe Nocera,
1/19/2012,Elizabeth Banks,
1/23/2012,Kathleen Sebelius,
1/24/2012,Elizabeth Warren,
1/25/2012,Paula Broadwell,
1/26/2012,Tilda Swinton,
1/30/2012,Lou Dobbs,
1/31/2012,Jonathan Macey,
2/1/2012,Brad Pitt,
2/2/2012,David Agus,
2/13/2012,Ali Soufan,
2/14/2012,Ricky Gervais,
2/15/2012,Louise Slaughter,
2/16/2012,Arne Duncan,
2/20/2012,Alan Huffman & Michael Rejebian,
2/21/2012,Russ Feingold,
2/22/2012,Bruce Bartlett,
2/23/2012,Paul Rudd,
2/27/2012,Neil deGrasse Tyson,
2/28/2012,Stephen Merchant,
2/29/2012,Masha Gessen,
3/1/2012,M. Cathleen Kaveny,
3/5/2012,Shaun Donovan,
3/6/2012,Julianne Moore,
3/7/2012,Cecile Richards,
3/8/2012,Trita Parsi,
3/12/2012,Grover Norquist,
3/13/2012,Will Ferrell,
3/14/2012,Rachel Weisz,
3/15/2012,No Guest,
3/26/2012,Shaquille O'Neal,
3/27/2012,Maria Goodavage,
3/28/2012,Ahmed Rashid,
3/29/2012,Rachel Maddow,
4/2/2012,Mohamed Nasheed,
4/3/2012,Thomas C. Goldstein,
4/4/2012,Jack L. Goldsmith,
4/5/2012,Anthony Bourdain,
4/9/2012,Tim Weiner,
4/10/2012,Elon Musk,
4/11/2012,Ricky Gervais,
4/12/2012,Esperanza Spalding,
4/16/2012,Jane Goodall,
4/17/2012,Julia Louis-Dreyfus,
4/18/2012,Robert Reich,
4/19/2012,Judy Smith,
4/23/2012,Ben Rattray,
4/24/2012,Madeleine Albright,
4/25/2012,Jason Segel,
4/26/2012,Robert Draper,
4/30/2012,Zach Wahls,
5/1/2012,David Barton,
5/2/2012,Tom Coburn,
5/3/2012,Peter Bergen,
5/7/2012,Admiral General Aladeen,
5/8/2012,Ivo Daalder,
5/9/2012,John R. Hall,
5/10/2012,Robert Caro,
5/29/2012,Michelle Obama,
5/30/2012,Dan Rather,
5/31/2012,Jim Parsons,
6/4/2012,Thomas Mann & Norman Ornstein,
6/5/2012,Gary Johnson,
6/6/2012,Michael Fassbender,
6/7/2012,Edward Conard,
6/11/2012,Boris Johnson,
6/12/2012,Colin Powell,
6/13/2012,Maggie Gyllenhaal,
6/14/2012,Catherine Zeta-Jones,
6/18/2012,Parmy Olson,
6/19/2012,Denis Leary,
6/20/2012,Steve Carell,
6/21/2012,Bassem Youssef,
6/25/2012,Marco Rubio,
6/26/2012,Seth MacFarlane,
6/27/2012,Andrew Garfield,
6/28/2012,Tenacious D,
7/16/2012,Louis C.K.,
7/17/2012,Victor Cruz,
7/18/2012,Sigourney Weaver,
7/19/2012,E.J. Dionne,
7/23/2012,Fareed Zakaria,
7/24/2012,Matthew McConaughey,
7/25/2012,Joseph Stiglitz,
7/26/2012,Zach Galifianakis & Will Ferrell,
7/30/2012,Rashida Jones,
7/31/2012,Dambisa Moyo,
8/1/2012,Fred Guterl,
8/2/2012,Jessica Biel,
8/6/2012,Tim Gunn,
8/7/2012,Saima Wahab,
8/8/2012,Chris Rock,
8/9/2012,Joanna Brooks,
8/13/2012,Robert Pattinson,
8/14/2012,Misty May-Treanor,
8/15/2012,Brian Williams,
8/16/2012,Rob Corddry,
8/28/2012,Marco Rubio,
8/29/2012,Herman Cain,
8/30/2012,Michael Steele,
8/31/2012,GOP Convention 2012: Friday,
9/4/2012,Tom Brokaw,
9/5/2012,Kirsten Gillibrand,
9/6/2012,Austan Goolsbee,
9/7/2012,DNC Friday,
9/17/2012,Kofi Annan,
9/18/2012,Salman Rushdie,
9/19/2012,Pink,
9/20/2012,Bill Clinton,
9/24/2012,Special Edition - A Look Back at News Media,
9/25/2012,King Abdullah II,
9/26/2012,Olivia Wilde,
9/27/2012,Amar'e Stoudemire,
10/1/2012,Arnold Schwarzenegger,
10/2/2012,Liam Neeson,
10/3/2012,Rand Paul,
10/4/2012,Bill O'Reilly,
10/6/2012,The Rumble 2012: Jon Stewart vs. Bill O'Reilly,
10/8/2012,Pete Townshend,
10/9/2012,Ben Affleck,
10/10/2012,Magic Johnson,
10/11/2012,Paul Thomas Anderson,
10/15/2012,J. K. Rowling,
10/16/2012,Eugene Jarecki,
10/17/2012,Nate Silver,
10/18/2012,Barack Obama,
10/22/2012,D.L. Hughley,
10/23/2012,Gerard Butler,
10/24/2012,Dakota Meyer,
10/25/2012,Nancy Pelosi,
10/26/2012,Special Edition - A Look Back at Animals,
10/31/2012,Jon Ronson,
11/1/2012,Bob Woodruff,
11/2/2012,Special Edition - A Look Back at Voting,
11/5/2012,Martha Raddatz,
11/6/2012,Election Night 2012: This Ends Now,
11/7/2012,Nate Silver,
11/8/2012,Katie Dellamaggiore & Pobo Efekoro,
11/9/2012,Special Edition - A Look Back at Barack Obama,
11/12/2012,Mike Huckabee,
11/13/2012,Jason Sudeikis,
11/14/2012,Jon Meacham,
11/15/2012,Andrew Napolitano,
11/16/2012,Special Edition - A Look Back at Democalypse 2012,
11/26/2012,David Nasaw,
11/27/2012,Warren Buffett & Carol Loomis,
11/28/2012,Neil Young,
11/29/2012,Calvin Trillin,
11/30/2012,Special Edition - A Look Back at Food,
12/3/2012,Denis Leary,
12/4/2012,R.A. Dickey,
12/5/2012,Alan Simpson,
12/6/2012,Chris Christie,
12/7/2012,Special Edition - A Look Back at International Affairs,
12/10/2012,Bishop Gene Robinson,
12/11/2012,Laura Linney,
12/12/2012,Cory Booker,
12/13/2012,Kristen Stewart,
1/7/2013,Anne Hathaway,
1/8/2013,Gen. Stanley McChrystal,
1/9/2013,Jeff Bridges,
1/10/2013,Josh Brolin,
1/11/2013,Special Edition - A Look Back at Technology,
1/14/2013,Roger Waters,
1/15/2013,Bob Schieffer,
1/16/2013,Jessica Chastain,
1/17/2013,Lena Dunham,
1/18/2013,Special Edition - A Look Back at Guns,
1/21/2013,Sonia Sotomayor,
1/22/2013,Jennifer Lopez,
1/23/2013,Missy Cummings,
1/24/2013,Christopher Walken,
1/25/2013,Special Edition - A Look Back at the Fiscal Cliff,
1/28/2013,Bob Costas,
1/29/2013,Melissa McCarthy,
1/30/2013,Al Gore,
1/31/2013,Jason Bateman,
2/1/2013,Special Edition - A Look Back at Women in the Military,
2/4/2013,Michelle Rhee,
2/5/2013,Ray Kelly,
2/6/2013,Ed Whitacre,
2/7/2013,Neil Barofsky,
2/11/2013,George Stephanopoulos,
2/12/2013,Mike Piazza,
2/13/2013,Fawzia Koofi,
2/14/2013,Susan E. Rice,
2/19/2013,Alison Brie,
2/20/2013,Helaine Olen,
2/21/2013,Steven Brill,
2/25/2013,Donnie Wahlberg,
2/26/2013,Lori Silverbush & Kristi Jacobson,
2/27/2013,R.J. Cutler,
2/28/2013,Rachel Maddow,
3/4/2013,Paul Rudd,
3/5/2013,Sandra Day O'Connor,
3/6/2013,Neil DeGrasse Tyson,
3/7/2013,Tom Coughlin,
3/25/2013,Peter Dinklage,
3/26/2013,Michael Moss,
3/27/2013,Eva Mendes,
3/28/2013,Denise Kiernan,
4/1/2013,Mary Roach,
4/2/2013,Jonathan Sperber,
4/3/2013,Sheryl Sandberg,
4/4/2013,Danny Boyle,
4/8/2013,David Stockman,
4/9/2013,Jimmy Carter,
4/10/2013,Ken Burns,
4/11/2013,Edie Falco,
4/16/2013,Tom Cruise,
4/17/2013,Ricky Gervais,
4/18/2013,Mark Mazzetti,
4/22/2013,Christina Hendricks,
4/23/2013,Salman Rushdie,
4/24/2013,Bassem Youssef,
4/25/2013,Vali Nasr,
4/29/2013,Jon Hamm,
4/30/2013,Robert Downey Jr,
5/1/2013,Kay Bailey Hutchison,
5/2/2013,Eric Greitens,
5/6/2013,Christiane Amanpour,
5/7/2013,Mindy Kaling,
5/8/2013,Carey Mulligan,
5/9/2013,David Sedaris,
5/13/2013,J.J. Abrams,
5/14/2013,Nathan Lane,
5/15/2013,Olympia Snowe,
5/16/2013,George Packer,
5/20/2013,Ellen Page,
5/21/2013,Phil Jackson,
5/22/2013,Bill O'Reilly,
5/23/2013,Morgan Freeman,
6/3/2013,Maxim Pozdorovkin & Mike Lerner,
6/4/2013,Brian Williams,
6/5/2013,Jon Favreau,
6/6/2013,No Guests,
6/10/2013,Seth Rogen,
6/11/2013,Armando Iannucci,
6/12/2013,Mavis Staples,
6/13/2013,Fareed Zakaria,
6/17/2013,Linda Cardellini,
6/18/2013,Jim Gaffigan,
6/19/2013,Dawn Porter,
6/20/2013,Tom Brokaw,
6/24/2013,Maggie Gyllenhaal,
6/25/2013,Questlove,
6/26/2013,Josh Fox,
6/27/2013,Tom Goldstein,
7/15/2013,Aaron Sorkin,
7/16/2013,Helen Mirren,
7/17/2013,Reza Aslan,
7/18/2013,Sarah Vowell,
7/22/2013,Louis C.K.,
7/23/2013,Richard Haass,
7/24/2013,Shailene Woodley,
7/25/2013,Bob Bradley,
7/29/2013,Mark Leibovich,
7/30/2013,Tim Gunn,
7/31/2013,Hank Azaria,
8/1/2013,Colin Quinn,
8/5/2013,Neal Thompson,
8/6/2013,Liam Hemsworth,
8/7/2013,Lake Bell,
8/8/2013,Kirsten Gillibrand,
8/12/2013,Rand Paul,
8/13/2013,Joshua Oppenheimer,
8/14/2013,Regis Philbin,
8/15/2013,Simon Pegg,
9/3/2013,Andrew Harper,
9/4/2013,Mario Livio,
9/5/2013,Michael C. Hall,
9/9/2013,Sheri Fink,
9/10/2013,Bill Dedman,
9/11/2013,Bob Odenkirk & David Cross,
9/12/2013,Billy Crystal,
9/16/2013,Robert Reich,
9/17/2013,Jake Gyllenhaal,
9/18/2013,Hugh Jackman,
9/19/2013,Chelsea Clinton,
9/24/2013,Richard Dawkins,
9/25/2013,Atoms for Peace,
9/26/2013,Robin Williams,
9/30/2013,Bill O'Reilly,
10/1/2013,David Mitchell,
10/2/2013,Sandra Bullock,
10/3/2013,Kerry Washington,
10/7/2013,Kathleen Sebelius,
10/8/2013,Malala Yousafzai,
10/9/2013,Michael Fassbender,
10/10/2013,Brian Jay Jones,
10/21/2013,Alan Greenspan,
10/22/2013,Malcolm Gladwell,
10/23/2013,Charles Krauthammer,
10/24/2013,Chiwetel Ejiofor,
10/28/2013,Nick Offerman,
10/29/2013,Rep. Debbie Wasserman Schultz,
10/30/2013,Diane Ravitch,
10/31/2013,Mark Fainaru-Wada,
11/4/2013,Bob Woodruff,
11/5/2013,John Goodman,
11/6/2013,Monique Brinson Demery,
11/7/2013,Patrick Stewart,
11/11/2013,Doris Kearns Goodwin,
11/12/2013,Joe Scarborough,
11/13/2013,Key & Peele,
11/14/2013,Geoffrey Rush,
11/18/2013,Elizabeth Olsen,
11/19/2013,Bill Cosby,
11/20/2013,Tom Brokaw,
11/21/2013,Jennifer Lawrence,
12/2/2013,Ian McKellen,
12/3/2013,Jared Leto,
12/4/2013,Jehane Noujaim,
12/5/2013,Jorge Ramos,
12/9/2013,Husain Haqqani,
12/10/2013,Amy Adams,
12/11/2013,Reza Aslan,
12/12/2013,Evangeline Lilly,
12/16/2013,Haifaa al-Mansour,
12/17/2013,Erik Prince,
12/18/2013,"Steve Carell, Will Ferrell, David Koechner & Paul Rudd",
12/19/2013,Jonah Hill,
1/6/2014,Oscar Isaac,
1/7/2014,Steve Coogan,
1/8/2014,Richard Cordray,
1/9/2014,Scarlett Johansson,
1/13/2014,Roger Ross Williams,
1/14/2014,Tim Gunn,
1/15/2014,Robert Gates,
1/16/2014,Steven Brill,
1/20/2014,Marilynne Roach,
1/21/2014,Theresa Payton,
1/22/2014,Hari Sreenivasan,
1/23/2014,Anjan Sundaram,
1/27/2014,Jeff Garlin,
1/28/2014,Louis C.K.,
1/29/2014,Johnny Knoxville,
1/30/2014,Nancy Pelosi,
2/3/2014,Bill de Blasio,
2/4/2014,Elizabeth Banks,
2/5/2014,George Clooney,
2/6/2014,Robyn Doolittle,
2/10/2014,Ty Burrell,
2/11/2014,Elizabeth Kolbert,
2/12/2014,Joel Kinnaman,
2/18/2014,Kevin Spacey,
2/19/2014,David O. Russell,
2/20/2014,Ronan Farrow,
2/24/2014,Hooman Majd,
2/25/2014,Michio Kaku,
2/26/2014,Liam Neeson,
2/27/2014,Kevin Roose,
3/3/2014,Seth MacFarlane,
3/4/2014,Jim DeMint,
3/5/2014,Rachel Maddow,
3/6/2014,Kimberly Marten,
3/10/2014,Paul Taylor,
3/11/2014,Andrew Napolitano,
3/12/2014,Jason Bateman,
3/13/2014,Anita Hill,
3/24/2014,Arianna Huffington,
3/25/2014,Amy Yates Wuelfing & Gibby Haynes,
3/26/2014,Jude Law,
3/27/2014,Nate Silver,
3/31/2014,Peter Dinklage,
4/1/2014,Michael Lewis,
4/2/2014,Samuel L. Jackson,
4/3/2014,Pelé,
4/7/2014,Matt Taibbi,
4/8/2014,Denis Leary,
4/9/2014,Colin Firth,
4/10/2014,Jennifer Garner,
4/21/2014,Gina McCarthy,
4/22/2014,Elizabeth Warren,
4/23/2014,Robin Roberts,
4/24/2014,Ramachandra Guha,
4/28/2014,Mookie Wilson,
4/29/2014,William D. Cohan,
4/30/2014,Martin Gilens & Benjamin Page,
5/1/2014,David Spade,
5/5/2014,Mariano Rivera,
5/6/2014,Peter Schuck,
5/7/2014,Seth Rogen,
5/8/2014,Katie Couric,
5/12/2014,Martin Blaser,
5/13/2014,Ron Suskind,
5/14/2014,Blondie,
5/15/2014,Jim Parsons,
5/19/2014,James McAvoy,
5/20/2014,Aneesh Chopra,
5/21/2014,Timothy Geithner,
5/22/2014,Drew Barrymore,
6/2/2014,Robert De Niro,
6/3/2014,Ricky Gervais,
6/4/2014,Gigi Ibrahim,
6/5/2014,Tom Cruise,
6/9/2014,Philip K. Howard,
6/10/2014,Sebastian Junger,
6/11/2014,Senator Charles Schumer,
6/12/2014,Christopher Walken,
6/16/2014,Howard Schultz,
6/17/2014,Daniel Schulman,
6/18/2014,Kevin Hart,
6/19/2014,Hamid Al-Bayati,
6/23/2014,Bill Maher,
6/24/2014,Jennifer Esposito,
6/25/2014,Keira Knightley,
6/26/2014,Melissa McCarthy,
7/14/2014,Dahlia Lithwick,
7/15/2014,Hillary Clinton,
7/16/2014,Jerry Seinfeld,
7/17/2014,Emma Stone,
7/21/2014,Sue Turton,
7/22/2014,Richard Linklater,
7/23/2014,George Takei,
7/24/2014,Fareed Zakaria,
7/28/2014,Sonia Nazario,
7/29/2014,Sara Firth,
7/30/2014,Maggie Gyllenhaal,
7/31/2014,Aubrey Plaza,
8/4/2014,Elisabeth Moss,
8/5/2014,Helen Thorpe,
8/6/2014,Wu-Tang Clan,
8/7/2014,Tracy Droz Tragos,
8/26/2014,David Rose,
8/27/2014,Hassan Abbas,
8/28/2014,Todd Glass,
9/2/2014,Ramita Navai,
9/3/2014,Rory Kennedy,
9/4/2014,Adam Levine,
9/9/2014,Kirsten Gillibrand,
9/10/2014,Ban Ki-moon,
9/11/2014,Tavis Smiley,
9/15/2014,Ken Burns,
9/16/2014,Bill Hader,
9/17/2014,Zephyr Teachout,
9/18/2014,Bill Clinton,
9/22/2014,Jenny Nordberg,
9/23/2014,Tony Zinni,
9/24/2014,Tia Torres,
9/25/2014,Steven Johnson,
9/29/2014,Hadi al-Bahra,
9/30/2014,Ben Affleck,
10/1/2014,Lena Dunham,
10/2/2014,Ben Steele,
10/6/2014,Atul Gawande,
10/7/2014,Wyatt Cenac,
10/8/2014,Leon Panetta,
10/9/2014,Jeremy Renner,
10/13/2014,Matt Bai,
10/14/2014,Zach Galifianakis,
10/15/2014,Bill O'Reilly,
10/16/2014,Bryan Stevenson,
10/27/2014,Wendy Davis,
10/28/2014,Joaquin Castro,
10/29/2014,Ellar Coltrane,
10/30/2014,Spoon,
11/3/2014,Jake Gyllenhaal,
11/4/2014,Reince Priebus,
11/5/2014,John Cleese,
11/6/2014,James Risen,
11/10/2014,Bruce Springsteen & Frank Caruso,
11/11/2014,Samantha Power,
11/12/2014,Steve Carell,
11/13/2014,Maziar Bahari & Gael Garcia Bernal,
11/17/2014,Laura Poitras,
11/18/2014,Benedict Cumberbatch,
11/19/2014,Jessica Chastain,
11/20/2014,Eddie Redmayne,
12/1/2014,Andrew Napolitano,
12/2/2014,Sophie Delaunay,
12/3/2014,Dave Grohl,
12/4/2014,Angelina Jolie,
12/8/2014,Norman Lear,
12/9/2014,Kathryn Bigelow & Juan Zarate,
12/10/2014,Suki Kim,
12/11/2014,Mick Foley,
12/15/2014,Tim Burton,
12/16/2014,Paul McCartney,
12/17/2014,Anna Kendrick,
12/18/2014,Chris Rock,
1/5/2015,Steven Brill,
1/6/2015,Cass Sunstein,
1/7/2015,Ava DuVernay,
1/8/2015,Allison Williams,
1/12/2015,Jimmy Carter,
1/13/2015,Marco Rubio,
1/14/2015,Julianne Moore,
1/15/2015,Sienna Miller,
1/19/2015,Mike Huckabee,
1/20/2015,Jennifer Lopez,
1/21/2015,Anne Hathaway,
1/22/2015,Jennifer Aniston,
1/26/2015,Julian Castro,
1/27/2015,Jill Leovy,
1/28/2015,Oscar Isaac,
1/29/2015,Sarah Chayes,
2/2/2015,Martin Short,
2/3/2015,Bill Browder,
2/4/2015,Wes Moore,
2/5/2015,Bob Odenkirk,
2/9/2015,Patricia Arquette,
2/10/2015,David Axelrod,
2/11/2015,Colin Firth,
2/23/2015,Christine Lagarde,
2/24/2015,Lynsey Addario,
2/25/2015,Conan O'Brien,
2/26/2015,Olivia Wilde,
3/2/2015,Robert Smigel,
3/3/2015,Sigourney Weaver,
3/4/2015,Viacheslav Fetisov,
3/5/2015,Gerald Posner,
3/9/2015,John Lewis,
3/10/2015,Abbi Jacobson & Ilana Glazer,
3/11/2015,Common,
3/12/2015,Rob Corddry,
3/16/2015,Andrew Cockburn,
3/17/2015,Amanda Seyfried,
3/18/2015,Kevin Hart,
3/19/2015,Will Ferrell,
3/23/2015,Ayaan Hirsi Ali,
3/24/2015,Jon Ronson,
3/25/2015,Kirby Dick & Amy Ziering,
3/26/2015,John Hargrove,
4/6/2015,Gene Baur,
4/7/2015,Peter Dinklage,
4/8/2015,Tavis Smiley,
4/9/2015,Elizabeth Warren,
4/13/2015,Adam Horovitz,
4/14/2015,Fareed Zakaria,
4/15/2015,Billy Crystal,
4/16/2015,Eric Greitens,
4/20/2015,Gayle Tzemach Lemmon,
4/21/2015,Jeff Garlin,
4/22/2015,Dana Perino,
4/23/2015,Neil deGrasse Tyson,
4/27/2015,Elizabeth Olsen,
4/28/2015,George Stephanopoulos,
4/29/2015,Judith Miller,
4/30/2015,Kristen Wiig,
5/4/2015,Brian Grazer,
5/5/2015,Willie Nelson,
5/6/2015,Ernest Moniz,
5/7/2015,Mumford & Sons,
5/11/2015,John Legend,
5/12/2015,Tom Brokaw,
5/13/2015,Reza Aslan,
5/14/2015,Rebel Wilson,
5/26/2015,Rand Paul,
5/27/2015,Rosabeth Moss Kanter,
5/28/2015,Matt Harvey,
6/1/2015,Stanley McChrystal,
6/2/2015,Bill de Blasio,
6/3/2015,Melissa McCarthy,
6/4/2015,Steve Buscemi,
6/8/2015,Nicola Sturgeon,
6/9/2015,Nick Offerman,
6/10/2015,Colin Quinn,
6/11/2015,Mark Ruffalo,
6/15/2015,Judd Apatow,
6/16/2015,Aziz Ansari,
6/17/2015,Bill Clinton,
6/18/2015,Malala Yousafzai,
6/22/2015,Al Franken,
6/23/2015,Seth MacFarlane,
6/24/2015,Andrew Napolitano,
6/25/2015,Richard Lewis,
6/29/2015,Taylor Schilling,
6/30/2015,Jon Hamm,
7/1/2015,Kirsten Gillibrand,
7/2/2015,Sarah Vowell,
7/20/2015,7/20/2015,
7/21/2015,7/21/2015,
7/22/2015,7/22/2015,
7/23/2015,7/23/2015,
7/27/2015,7/27/2015,
7/28/2015,7/28/2015,
7/29/2015,7/29/2015,
7/30/2015,7/30/2015,
8/3/2015,8/3/2015,
8/4/2015,8/4/2015,
8/5/2015,8/5/2015,
8/6/2015,Jon's Last Show,